code,date,prev,after,段_前,段_后,勾选,方向,翻面
000585,2022-03-30,,,,,,,
000587,2022-04-19,-150000.0,26600.0,"155,000 万元–145,000 万元","21,600 万元至31,600 万元",,好→更好,1.0
000592,2023-03-17,-10000.0,,"8,000.00 万元–12,000.00 万元",,,,
000595,2019-04-04,,-10000.0,,"9,000 万元至11,000 万元",,,
000603,2018-04-21,38000.0,,"35,000 万元—41,000 万元",,,,
000606,2021-04-15,,,,,亏损,,
000606,2023-04-29,7600.0,,"6,800 万元至8,400 万元",,,,
000608,2021-03-20,,,"5,000 万元—7,500 万元","5,000万元–7,500 万元",,,
000608,2025-03-22,-11250.0,,"9,000万元–13,500万元",,,,
000609,2021-04-28,,,,,,,
000611,2019-04-15,-4750.0,,-5000 万元至-4500 万元,,亏损,,
000611,2021-01-29,,,,,,,
000611,2021-01-30,,,,,亏损,,
000611,2021-04-24,,,,,亏损,,
000613,2022-04-26,6980.0,170.0,"6,960 万元–7,000 万元",150 万元-190 万元,,坏→更坏,0.0
000615,2022-04-27,-16500.0,,"14,000 万元-19,000 万元",,,,
000615,2023-04-15,-14050.0,,"11,300 万元-16,800 万元",,,,
000616,2023-03-02,,,6349.64 万元–9524.46 万元,6349.64 万元–9524.46 万元,同向下降,,
000616,2023-04-25,,,35044.54 万元–52566.81 万元,35044.54 万元–52566.81 万元,同向上升,,
000620,2023-04-19,-239000.0,,"236,500 万元—241,500 万元",,,,
000622,2024-04-30,,,1100 万元至1300 万元,1100 万元至1300 万元,,,
000626,2018-04-14,,,,,,,
000632,2026-04-25,,,,,,,
000637,2023-03-31,-3575.0,,"2,900万元—4,250万元",,,,
000639,2018-03-29,29000.0,33500.0,"28,000万元–30,000万元","32,500万元–34,500万元",扭亏为盈,好→更好,0.0
000662,2019-04-30,,,,,,,
000662,2020-06-30,,,,,,,
000668,2024-04-23,,,,,,,
000669,2026-04-28,1500.0,,"1,200 万元至1,800 万元",,,,
000670,2020-03-04,,-2300.0,,"-1,800 万元～-2,800 万元",,,
000672,2017-04-11,,,,,,,
000691,2023-04-18,,,,,,,
000695,2026-01-20,-8350.0,,"9,800 万元至6,900 万元",,,,
000697,2018-01-16,,,,,扭亏为盈,,
000697,2018-02-10,,,,,扭亏为盈,,
000697,2019-01-29,,,,,同向上升,,
000697,2020-02-03,,103500.0,,"90,000 万元-117,000 万元",亏损,,
000698,2017-01-26,33500.0,,"18,900万元—48,100万元",,,,
000698,2020-03-28,,,"45,000 万元—38,000 万元","45,000 万元—38,000 万元",亏损,,
000698,2023-04-21,,,,,,,
000716,2018-04-12,,15000.0,,"13,000 万元-17,000 万元",扭亏为盈,,
000717,2024-04-20,,,,,,,
000726,2021-02-05,,,,,,,
000731,2017-01-26,,,,,,,
000732,2022-04-23,11665.314999999999,,"10,143.75 万元–13,186.88 万元",,,,
000737,2021-02-01,,,,,,,
000737,2022-03-26,,,,,扭亏为盈,,
000755,2018-01-20,,,,,亏损,,
000755,2019-01-31,2000.0,,1400 万元-2600 万元,,,,
000760,2020-04-16,-8750.0,-750.0,"9500万元—8,000 万元",-9500 万元–8000 万元,扭亏为盈,好→更好,0.0
000760,2020-06-13,,,"700 万元—1,000 万元",700 万-1000 万元,亏损,,
000760,2021-07-06,,5500.0,,"5,000.00 万元–6,000.00 万",亏损,,
000786,2018-01-23,204937.005,,"175,660.29万元-234,213.72万元",,同向上升,,
000786,2021-01-13,258000.0,,"246,000.00万元-270,000.00万元",,同向上升,,
000809,2024-04-11,,,"8,770 万元–11,400 万元","8,770 万元–11,400 万元",,,
000813,2020-03-31,26250.0,,"21,000.00 万元–31,500.00 万元",,同向上升,,
000813,2022-04-23,,,,,,,
000816,2018-01-16,,-24000.0,,"21,000 万元— 27,000 万元",,,
000829,2017-01-25,,,,,,,
000830,2018-01-27,156000.0,,"150,000 万元至162,000 万元",,扭亏为盈,,
000835,2021-01-29,-17500.0,17500.0,"-19,000 万元至-16,000 万元","19,000 万元-16,000 万元",亏损,好→更好,1.0
000835,2022-03-17,-29250.0,-45000.0,"35,000 万元–23,500 万元","-46,000 万元–-44,000 万元",,坏→更坏,0.0
000839,2025-03-29,8625.0,,"7,500 万元–9,750 万元",,扭亏为盈,,
000851,2020-04-28,6350.0,,"5,100 万元至7,600 万元",,,,
000851,2024-04-30,-35000.0,,"40,000 万元至 30,000 万元",,,,
000851,2025-04-19,-152500.0,157500.0,"135,000 万元–170,000 万元","130,000 万元–185,000 万",,好→更好,1.0
000876,2023-03-31,,,,,,,
000877,2017-01-26,,,,,亏损,,
000882,2022-04-19,,,,,亏损,,
000892,2021-04-21,,,,,,,
000892,2022-04-28,,,,,,,
000903,2017-01-24,21250.0,,"19,500 万元–23,000 万",,扭亏为盈,,
000908,2020-01-17,-25000.0,,"20,000 万元至30,000 万元",,,,
000908,2022-04-26,,5400.0,,"3,600 万元至7,200 万元",,,
000908,2023-04-27,,,,,,,
000909,2023-04-20,-8250.0,,"7,000 万元-9,500 万元",,,,
